Player: 曹薰铉, Date: 1993-12-21, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-12-17, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 郑寿铉
Player: 曹薰铉, Date: 1993-12-13, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1993-12-08, Rating: 3434, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-11-30, Rating: 3434, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-11-26, Rating: 3433, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1993-11-22, Rating: 3433, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-11-18, Rating: 3433, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 曹薰铉, Date: 1993-11-12, Rating: 3432, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 曹薰铉, Date: 1993-11-08, Rating: 3432, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-11-05, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-11-03, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1993-11-01, Rating: 3431, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-10-27, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 丁铉山
Player: 曹薰铉, Date: 1993-10-17, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1993-10-08, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1993-10-04, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1993-09-20, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-09-17, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1993-09-12, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1993-09-06, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 梁建
Player: 曹薰铉, Date: 1993-09-03, Rating: 3424, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-08-30, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1993-08-26, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-08-14, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-08-07, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-08-01, Rating: 3421, Black and White: 执黑, Result: 胜, Opponent: 文容直
Player: 曹薰铉, Date: 1993-07-22, Rating: 3421, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-07-19, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1993-07-08, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1993-07-03, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 曹薰铉, Date: 1993-06-28, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-06-26, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 尹炫皙
Player: 曹薰铉, Date: 1993-06-21, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-06-19, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-06-17, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-06-14, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-06-11, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-06-08, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 姜哲民
Player: 曹薰铉, Date: 1993-06-05, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 曹薰铉, Date: 1993-05-29, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-05-25, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-05-23, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1993-05-20, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-05-14, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 曹薰铉, Date: 1993-05-12, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 洪太善
Player: 曹薰铉, Date: 1993-05-10, Rating: 3421, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-05-06, Rating: 3421, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-05-04, Rating: 3421, Black and White: 执白, Result: 负, Opponent: 崔明勋
Player: 曹薰铉, Date: 1993-05-03, Rating: 3421, Black and White: 执黑, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1993-04-30, Rating: 3421, Black and White: 执白, Result: 负, Opponent: 刘昌赫
