Player: 曹薰铉, Date: 1996-06-21, Rating: 3443, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1996-06-14, Rating: 3443, Black and White: 执黑, Result: 胜, Opponent: 金荣桓
Player: 曹薰铉, Date: 1996-06-10, Rating: 3443, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-06-03, Rating: 3443, Black and White: 执白, Result: 胜, Opponent: 金万树
Player: 曹薰铉, Date: 1996-05-23, Rating: 3444, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-05-18, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-05-11, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-05-09, Rating: 3444, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1996-05-07, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-05-04, Rating: 3444, Black and White: 执白, Result: 负, Opponent: 李圣宰
Player: 曹薰铉, Date: 1996-04-28, Rating: 3444, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 曹薰铉, Date: 1996-04-26, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 曹薰铉, Date: 1996-04-24, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 张文东
Player: 曹薰铉, Date: 1996-04-20, Rating: 3444, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-04-18, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-04-12, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-04-10, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1996-04-08, Rating: 3444, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 曹薰铉, Date: 1996-04-06, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 曹薰铉, Date: 1996-04-03, Rating: 3444, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-04-01, Rating: 3444, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1996-03-30, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
