Player: 李世石, Date: 2013-07-09, Rating: 3556, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2013-07-07, Rating: 3556, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 李世石, Date: 2013-07-04, Rating: 3556, Black and White: 执白, Result: 胜, Opponent: 姜秉卷
Player: 李世石, Date: 2013-06-28, Rating: 3555, Black and White: 执黑, Result: 负, Opponent: 王檄
Player: 李世石, Date: 2013-06-22, Rating: 3555, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 李世石, Date: 2013-06-20, Rating: 3554, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 李世石, Date: 2013-06-19, Rating: 3554, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 李世石, Date: 2013-06-17, Rating: 3554, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 李世石, Date: 2013-06-13, Rating: 3554, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2013-06-12, Rating: 3554, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
Player: 李世石, Date: 2013-06-10, Rating: 3554, Black and White: 执黑, Result: 胜, Opponent: 谢尔豪
Player: 李世石, Date: 2013-06-03, Rating: 3553, Black and White: 执白, Result: 胜, Opponent: 姜至省
Player: 李世石, Date: 2013-05-18, Rating: 3552, Black and White: 执白, Result: 负, Opponent: 李轩豪
Player: 李世石, Date: 2013-05-12, Rating: 3552, Black and White: 执黑, Result: 负, Opponent: 韩雄奎
Player: 李世石, Date: 2013-05-09, Rating: 3552, Black and White: 执白, Result: 负, Opponent: 佟禹林
