Player: 曹薰铉, Date: 2001-07-19, Rating: 3428, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-07-12, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 安永吉
Player: 曹薰铉, Date: 2001-07-07, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 曹薰铉, Date: 2001-07-02, Rating: 3428, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 曹薰铉, Date: 2001-06-22, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 曹薰铉, Date: 2001-06-18, Rating: 3429, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 2001-06-14, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 曹薰铉, Date: 2001-06-07, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 2001-06-02, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 曹薰铉, Date: 2001-05-25, Rating: 3430, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 曹薰铉, Date: 2001-05-21, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 林宣根
Player: 曹薰铉, Date: 2001-05-14, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 尹炫皙
Player: 曹薰铉, Date: 2001-05-10, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 曹薰铉, Date: 2001-05-08, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 曹薰铉, Date: 2001-05-03, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 安永吉
Player: 曹薰铉, Date: 2001-04-29, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 曹薰铉, Date: 2001-04-16, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 曹薰铉, Date: 2001-04-07, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 芮乃伟
Player: 曹薰铉, Date: 2001-03-18, Rating: 3430, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 曹薰铉, Date: 2001-03-17, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 曹薰铉, Date: 2001-03-16, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 曹薰铉, Date: 2001-03-12, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 曹薰铉, Date: 2001-03-09, Rating: 3430, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-03-06, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 芮乃伟
Player: 曹薰铉, Date: 2001-03-02, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-02-23, Rating: 3429, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-02-20, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 芮乃伟
Player: 曹薰铉, Date: 2001-02-16, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 李熙星
Player: 曹薰铉, Date: 2001-02-12, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 曹薰铉, Date: 2001-02-02, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-01-19, Rating: 3427, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-01-16, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-01-12, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-01-09, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-01-05, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 白大铉
Player: 李世石, Date: 2001-12-21, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 金江根
Player: 李世石, Date: 2001-12-11, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 金荣三
Player: 李世石, Date: 2001-11-23, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2001-11-15, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2001-11-13, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李世石, Date: 2001-11-06, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 睦镇硕
Player: 李世石, Date: 2001-10-26, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2001-10-19, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2001-10-18, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 韩钟振
Player: 李世石, Date: 2001-10-16, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李世石, Date: 2001-10-10, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2001-10-06, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 朴升贤
Player: 李世石, Date: 2001-09-26, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2001-09-25, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2001-09-18, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 梁建
