Player: 刘昌赫, Date: 1997-03-06, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1997-01-07, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 马晓春, Date: 1997-12-16, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1997-12-10, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1997-12-06, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 曹大元
Player: 马晓春, Date: 1997-12-04, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 马晓春, Date: 1997-12-02, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 马晓春, Date: 1997-11-17, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 罗洗河
Player: 马晓春, Date: 1997-11-15, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 马晓春, Date: 1997-11-13, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 罗洗河
Player: 马晓春, Date: 1997-11-10, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 罗洗河
Player: 马晓春, Date: 1997-11-06, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 余平
Player: 马晓春, Date: 1997-11-04, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 邵炜刚
Player: 马晓春, Date: 1997-11-02, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 马晓春, Date: 1997-10-27, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1997-10-09, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1997-09-19, Rating: 3377, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 马晓春, Date: 1997-09-15, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 邵炜刚
Player: 马晓春, Date: 1997-08-28, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1997-08-26, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 马晓春, Date: 1997-08-23, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 郑弘
Player: 马晓春, Date: 1997-08-15, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 金成龙
Player: 马晓春, Date: 1997-08-13, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 马晓春, Date: 1997-08-02, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 马晓春, Date: 1997-07-30, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 吴肇毅
Player: 马晓春, Date: 1997-07-28, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 罗洗河
Player: 马晓春, Date: 1997-07-26, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 黎春华
Player: 马晓春, Date: 1997-07-24, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1997-07-05, Rating: 3374, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 马晓春, Date: 1997-06-29, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 李圣宰
