Player: 申真谞, Date: 2017-10-15, Rating: 3671, Black and White: 执黑, Result: 负, Opponent: 谢科
Player: 申真谞, Date: 2017-10-14, Rating: 3671, Black and White: 执黑, Result: 胜, Opponent: 马逸超
Player: 申真谞, Date: 2017-10-08, Rating: 3670, Black and White: 执白, Result: 胜, Opponent: 李维清
Player: 申真谞, Date: 2017-10-05, Rating: 3670, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2017-09-29, Rating: 3669, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 申真谞, Date: 2017-09-26, Rating: 3669, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 申真谞, Date: 2017-09-25, Rating: 3669, Black and White: 执白, Result: 胜, Opponent: 井山裕太
Player: 申真谞, Date: 2017-09-23, Rating: 3669, Black and White: 执白, Result: 胜, Opponent: 白洪淅
Player: 申真谞, Date: 2017-09-17, Rating: 3668, Black and White: 执白, Result: 胜, Opponent: 尹灿熙
Player: 申真谞, Date: 2017-09-06, Rating: 3667, Black and White: 执白, Result: 胜, Opponent: 安成浚
Player: 申真谞, Date: 2017-09-05, Rating: 3667, Black and White: 执白, Result: 胜, Opponent: 薛冠华
Player: 申真谞, Date: 2017-09-02, Rating: 3666, Black and White: 执黑, Result: 胜, Opponent: 金民浩
Player: 申真谞, Date: 2017-08-31, Rating: 3666, Black and White: 执黑, Result: 负, Opponent: 党毅飞
Player: 申真谞, Date: 2017-08-26, Rating: 3665, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2017-08-22, Rating: 3665, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 申真谞, Date: 2017-08-17, Rating: 3665, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2017-08-10, Rating: 3664, Black and White: 执白, Result: 胜, Opponent: 李泰贤
Player: 申真谞, Date: 2017-08-07, Rating: 3663, Black and White: 执白, Result: 胜, Opponent: 韩升周
Player: 申真谞, Date: 2017-07-31, Rating: 3663, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 申真谞, Date: 2017-07-29, Rating: 3663, Black and White: 执白, Result: 胜, Opponent: 富士田明彦
Player: 申真谞, Date: 2017-07-23, Rating: 3662, Black and White: 执黑, Result: 胜, Opponent: 金成宰
Player: 申真谞, Date: 2017-07-21, Rating: 3662, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2017-07-19, Rating: 3662, Black and White: 执白, Result: 胜, Opponent: 廖行文
Player: 申真谞, Date: 2017-07-17, Rating: 3661, Black and White: 执黑, Result: 负, Opponent: 范廷钰
Player: 申真谞, Date: 2017-07-15, Rating: 3661, Black and White: 执黑, Result: 胜, Opponent: 偰玹准
Player: 申真谞, Date: 2017-07-14, Rating: 3661, Black and White: 执黑, Result: 胜, Opponent: 姜儒泽
Player: 申真谞, Date: 2017-07-13, Rating: 3661, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 申真谞, Date: 2017-07-11, Rating: 3661, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 申真谞, Date: 2017-07-07, Rating: 3660, Black and White: 执白, Result: 胜, Opponent: 洪基杓
Player: 申真谞, Date: 2017-06-19, Rating: 3658, Black and White: 执白, Result: 负, Opponent: 王昊洋
Player: 申真谞, Date: 2017-06-17, Rating: 3658, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 申真谞, Date: 2017-06-08, Rating: 3656, Black and White: 执白, Result: 胜, Opponent: 尹灿熙
Player: 申真谞, Date: 2017-06-02, Rating: 3656, Black and White: 执黑, Result: 胜, Opponent: 韩尚勋
Player: 申真谞, Date: 2017-05-31, Rating: 3655, Black and White: 执白, Result: 胜, Opponent: 伊田笃史
Player: 申真谞, Date: 2017-05-29, Rating: 3655, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 申真谞, Date: 2017-05-19, Rating: 3654, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2017-05-14, Rating: 3653, Black and White: 执黑, Result: 胜, Opponent: 安冬旭
Player: 申真谞, Date: 2017-05-07, Rating: 3652, Black and White: 执白, Result: 负, Opponent: 周睿羊
Player: 申真谞, Date: 2017-04-27, Rating: 3651, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 申真谞, Date: 2017-04-25, Rating: 3650, Black and White: 执白, Result: 胜, Opponent: 孙腾宇
Player: 申真谞, Date: 2017-04-23, Rating: 3650, Black and White: 执黑, Result: 胜, Opponent: 芝野虎丸
Player: 申真谞, Date: 2017-04-23, Rating: 3650, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2017-04-22, Rating: 3650, Black and White: 执白, Result: 胜, Opponent: 六浦雄太
Player: 申真谞, Date: 2017-04-22, Rating: 3650, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 申真谞, Date: 2017-04-21, Rating: 3650, Black and White: 执白, Result: 胜, Opponent: 六浦雄太
Player: 申真谞, Date: 2017-04-21, Rating: 3650, Black and White: 执黑, Result: 负, Opponent: 黄云嵩
Player: 申真谞, Date: 2017-03-17, Rating: 3644, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 申真谞, Date: 2017-02-16, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 金成宰
Player: 申真谞, Date: 2017-01-04, Rating: 3634, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 申真谞, Date: 2017-01-03, Rating: 3634, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2017-01-02, Rating: 3633, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2017-01-01, Rating: 3633, Black and White: 执白, Result: 胜, Opponent: 许家元
Player: 芈昱廷, Date: 2017-12-27, Rating: 3641, Black and White: 执白, Result: 负, Opponent: 张涛
Player: 芈昱廷, Date: 2017-12-26, Rating: 3641, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 芈昱廷, Date: 2017-12-14, Rating: 3639, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 芈昱廷, Date: 2017-12-13, Rating: 3639, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 芈昱廷, Date: 2017-12-02, Rating: 3637, Black and White: 执黑, Result: 负, Opponent: 柁嘉熹
Player: 芈昱廷, Date: 2017-11-30, Rating: 3637, Black and White: 执黑, Result: 负, Opponent: 丁浩
Player: 芈昱廷, Date: 2017-11-22, Rating: 3637, Black and White: 执白, Result: 胜, Opponent: 戎毅
Player: 芈昱廷, Date: 2017-11-10, Rating: 3635, Black and White: 执黑, Result: 负, Opponent: 檀啸
Player: 芈昱廷, Date: 2017-11-04, Rating: 3635, Black and White: 执白, Result: 负, Opponent: 连笑
Player: 芈昱廷, Date: 2017-11-02, Rating: 3635, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 芈昱廷, Date: 2017-11-01, Rating: 3635, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 芈昱廷, Date: 2017-10-30, Rating: 3635, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 芈昱廷, Date: 2017-10-28, Rating: 3635, Black and White: 执白, Result: 负, Opponent: 马逸超
Player: 芈昱廷, Date: 2017-10-20, Rating: 3635, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 芈昱廷, Date: 2017-10-11, Rating: 3635, Black and White: 执白, Result: 胜, Opponent: 童梦成
