Player: 时越, Date: 2013-07-19, Rating: 3607, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-07-15, Rating: 3607, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 时越, Date: 2013-07-09, Rating: 3606, Black and White: 执黑, Result: 负, Opponent: 罗玄
Player: 时越, Date: 2013-07-07, Rating: 3606, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 时越, Date: 2013-06-22, Rating: 3605, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 时越, Date: 2013-06-15, Rating: 3605, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 时越, Date: 2013-06-10, Rating: 3605, Black and White: 执黑, Result: 负, Opponent: 安亨浚
Player: 时越, Date: 2013-06-02, Rating: 3604, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 时越, Date: 2013-05-31, Rating: 3604, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 时越, Date: 2013-05-29, Rating: 3604, Black and White: 执黑, Result: 胜, Opponent: 王檄
Player: 时越, Date: 2013-05-27, Rating: 3604, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 时越, Date: 2013-05-18, Rating: 3603, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 时越, Date: 2013-05-11, Rating: 3603, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 时越, Date: 2013-05-09, Rating: 3603, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 时越, Date: 2013-05-04, Rating: 3603, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-04-17, Rating: 3601, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 时越, Date: 2013-04-15, Rating: 3601, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 时越, Date: 2013-04-13, Rating: 3601, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 时越, Date: 2013-04-07, Rating: 3601, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 时越, Date: 2013-04-05, Rating: 3601, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 时越, Date: 2013-04-01, Rating: 3600, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 时越, Date: 2013-03-27, Rating: 3600, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 时越, Date: 2013-03-14, Rating: 3598, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 时越, Date: 2013-03-13, Rating: 3598, Black and White: 执黑, Result: 胜, Opponent: 严欢
Player: 时越, Date: 2013-03-13, Rating: 3598, Black and White: 执白, Result: 胜, Opponent: 胡跃峰
Player: 时越, Date: 2013-03-12, Rating: 3598, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 时越, Date: 2013-03-09, Rating: 3598, Black and White: 执黑, Result: 负, Opponent: 党毅飞
Player: 时越, Date: 2013-03-04, Rating: 3598, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 时越, Date: 2013-02-26, Rating: 3597, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 时越, Date: 2013-02-20, Rating: 3597, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 时越, Date: 2013-02-18, Rating: 3596, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 时越, Date: 2013-02-08, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-01-29, Rating: 3594, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 时越, Date: 2013-01-25, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 时越, Date: 2013-01-24, Rating: 3594, Black and White: 执白, Result: 负, Opponent: 古灵益
Player: 时越, Date: 2013-01-18, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 时越, Date: 2013-01-17, Rating: 3593, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 时越, Date: 2013-01-16, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 时越, Date: 2013-01-03, Rating: 3591, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-12-24, Rating: 3642, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-12-23, Rating: 3642, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 朴廷桓, Date: 2013-12-22, Rating: 3641, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-12-22, Rating: 3641, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-12-21, Rating: 3641, Black and White: 执白, Result: 胜, Opponent: 沟上知亲
Player: 朴廷桓, Date: 2013-12-16, Rating: 3641, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-12-15, Rating: 3641, Black and White: 执白, Result: 胜, Opponent: 杨慧人
Player: 朴廷桓, Date: 2013-12-14, Rating: 3641, Black and White: 执白, Result: 胜, Opponent: 樊麾
Player: 朴廷桓, Date: 2013-12-13, Rating: 3641, Black and White: 执黑, Result: 胜, Opponent: 富士田明彦
Player: 朴廷桓, Date: 2013-12-12, Rating: 3641, Black and White: 执白, Result: 胜, Opponent: 周俊勋
Player: 朴廷桓, Date: 2013-12-02, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2013-11-30, Rating: 3640, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-11-28, Rating: 3639, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 朴廷桓, Date: 2013-11-23, Rating: 3639, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-11-21, Rating: 3638, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2013-11-20, Rating: 3638, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2013-11-17, Rating: 3638, Black and White: 执白, Result: 胜, Opponent: 闵详然
Player: 朴廷桓, Date: 2013-11-16, Rating: 3638, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 朴廷桓, Date: 2013-11-12, Rating: 3638, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-11-04, Rating: 3637, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-10-27, Rating: 3636, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 朴廷桓, Date: 2013-10-24, Rating: 3636, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2013-10-20, Rating: 3635, Black and White: 执白, Result: 负, Opponent: 时越
