Player: 曹薰铉, Date: 2000-04-21, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 2000-04-10, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 曹薰铉, Date: 2000-04-08, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 曹薰铉, Date: 2000-04-03, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 曹薰铉, Date: 2000-03-30, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 曹薰铉, Date: 2000-03-22, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 曹薰铉, Date: 2000-03-17, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 李圣宰
Player: 曹薰铉, Date: 2000-03-15, Rating: 3405, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 2000-03-09, Rating: 3405, Black and White: 执白, Result: 负, Opponent: 李圣宰
Player: 曹薰铉, Date: 2000-03-06, Rating: 3405, Black and White: 执黑, Result: 负, Opponent: 朴志恩
Player: 曹薰铉, Date: 2000-02-24, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 曹薰铉, Date: 2000-02-21, Rating: 3406, Black and White: 执白, Result: 负, Opponent: 芮乃伟
Player: 曹薰铉, Date: 2000-02-18, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 曹薰铉, Date: 2000-02-17, Rating: 3406, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 2000-02-10, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 俞斌
Player: 曹薰铉, Date: 2000-01-31, Rating: 3407, Black and White: 执白, Result: 负, Opponent: 芮乃伟
Player: 曹薰铉, Date: 2000-01-26, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 曹薰铉, Date: 2000-01-24, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 2000-01-22, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 曹薰铉, Date: 2000-01-17, Rating: 3408, Black and White: 执黑, Result: 胜, Opponent: 芮乃伟
Player: 刘昌赫, Date: 2000-12-30, Rating: 3404, Black and White: 执白, Result: 胜, Opponent: 赵大贤
Player: 刘昌赫, Date: 2000-12-28, Rating: 3404, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 刘昌赫, Date: 2000-12-26, Rating: 3404, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 刘昌赫, Date: 2000-12-23, Rating: 3404, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 刘昌赫, Date: 2000-12-20, Rating: 3404, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 刘昌赫, Date: 2000-12-18, Rating: 3404, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 刘昌赫, Date: 2000-12-14, Rating: 3404, Black and White: 执黑, Result: 胜, Opponent: 山田规三生
Player: 刘昌赫, Date: 2000-12-12, Rating: 3403, Black and White: 执白, Result: 负, Opponent: 山田规三生
Player: 刘昌赫, Date: 2000-12-11, Rating: 3403, Black and White: 执黑, Result: 胜, Opponent: 山田规三生
Player: 刘昌赫, Date: 2000-12-08, Rating: 3403, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 刘昌赫, Date: 2000-12-04, Rating: 3403, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 刘昌赫, Date: 2000-11-27, Rating: 3403, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2000-11-23, Rating: 3403, Black and White: 执白, Result: 胜, Opponent: 山田规三生
Player: 刘昌赫, Date: 2000-11-20, Rating: 3402, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 刘昌赫, Date: 2000-11-07, Rating: 3401, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 刘昌赫, Date: 2000-10-26, Rating: 3401, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2000-10-20, Rating: 3400, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 刘昌赫, Date: 2000-10-04, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 姜至省
Player: 刘昌赫, Date: 2000-09-29, Rating: 3398, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 刘昌赫, Date: 2000-09-15, Rating: 3397, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 刘昌赫, Date: 2000-09-04, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 2000-09-01, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 金主镐
Player: 刘昌赫, Date: 2000-08-30, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 柳时熏
Player: 刘昌赫, Date: 2000-08-22, Rating: 3395, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 刘昌赫, Date: 2000-08-16, Rating: 3394, Black and White: 执黑, Result: 负, Opponent: 朴志恩
Player: 刘昌赫, Date: 2000-08-14, Rating: 3394, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 刘昌赫, Date: 2000-08-04, Rating: 3394, Black and White: 执白, Result: 负, Opponent: 崔明勋
Player: 刘昌赫, Date: 2000-07-27, Rating: 3393, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 刘昌赫, Date: 2000-07-26, Rating: 3393, Black and White: 执黑, Result: 胜, Opponent: 尹赫
Player: 刘昌赫, Date: 2000-07-24, Rating: 3393, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 刘昌赫, Date: 2000-07-12, Rating: 3393, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 刘昌赫, Date: 2000-06-26, Rating: 3392, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 2000-06-19, Rating: 3392, Black and White: 执白, Result: 胜, Opponent: 金成龙
Player: 刘昌赫, Date: 2000-06-15, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 刘昌赫, Date: 2000-06-09, Rating: 3392, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 刘昌赫, Date: 2000-06-07, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 韩铁均
Player: 刘昌赫, Date: 2000-06-05, Rating: 3392, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 刘昌赫, Date: 2000-06-02, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 刘昌赫, Date: 2000-05-22, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 尹炫皙
Player: 刘昌赫, Date: 2000-05-19, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2000-05-15, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 刘昌赫, Date: 2000-05-10, Rating: 3392, Black and White: 执黑, Result: 负, Opponent: 俞斌
Player: 刘昌赫, Date: 2000-05-08, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 刘昌赫, Date: 2000-05-02, Rating: 3393, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 刘昌赫, Date: 2000-04-10, Rating: 3394, Black and White: 执白, Result: 胜, Opponent: 俞斌
