Player: 申真谞, Date: 2023-03-16, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 安国铉
Player: 申真谞, Date: 2023-03-12, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2023-03-10, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-03-07, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2023-03-03, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2023-03-01, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 安成浚
Player: 申真谞, Date: 2023-02-27, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 申真谞, Date: 2023-02-24, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-02-24, Rating: 3864, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 申真谞, Date: 2023-02-21, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-02-18, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 申真谞, Date: 2023-02-18, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 权孝珍(男)
Player: 申真谞, Date: 2023-02-17, Rating: 3864, Black and White: 执黑, Result: 负, Opponent: 黄云嵩
Player: 申真谞, Date: 2023-02-16, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 安成浚
Player: 申真谞, Date: 2023-02-15, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2023-02-14, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2023-02-09, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 柳珉滢
Player: 申真谞, Date: 2023-02-08, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 林立祥
Player: 申真谞, Date: 2023-02-07, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-02-03, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 朴珉奎
Player: 申真谞, Date: 2023-02-03, Rating: 3864, Black and White: 执白, Result: 负, Opponent: 元晟溱
Player: 申真谞, Date: 2023-02-03, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2023-01-28, Rating: 3863, Black and White: 执黑, Result: 胜, Opponent: 洪茂镇
Player: 申真谞, Date: 2023-01-28, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2023-01-17, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 申真谞, Date: 2023-01-14, Rating: 3863, Black and White: 执黑, Result: 胜, Opponent: 文敏钟
Player: 申真谞, Date: 2023-01-14, Rating: 3863, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2023-01-12, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2023-01-02, Rating: 3862, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2023-12-31, Rating: 3678, Black and White: 执黑, Result: 胜, Opponent: 金昌勋
Player: 朴廷桓, Date: 2023-12-13, Rating: 3678, Black and White: 执黑, Result: 胜, Opponent: 崔宰荣
Player: 朴廷桓, Date: 2023-12-06, Rating: 3677, Black and White: 执黑, Result: 负, Opponent: 彭立尧
Player: 朴廷桓, Date: 2023-12-02, Rating: 3677, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2023-11-28, Rating: 3678, Black and White: 执黑, Result: 负, Opponent: 李轩豪
Player: 朴廷桓, Date: 2023-11-24, Rating: 3678, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 朴廷桓, Date: 2023-11-21, Rating: 3678, Black and White: 执黑, Result: 胜, Opponent: 连笑
Player: 朴廷桓, Date: 2023-11-20, Rating: 3678, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2023-11-16, Rating: 3678, Black and White: 执白, Result: 胜, Opponent: 安德里克拉维茨
Player: 朴廷桓, Date: 2023-11-10, Rating: 3678, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-11-04, Rating: 3678, Black and White: 执白, Result: 负, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-10-28, Rating: 3679, Black and White: 执白, Result: 胜, Opponent: 偰玹准
Player: 朴廷桓, Date: 2023-10-25, Rating: 3679, Black and White: 执黑, Result: 胜, Opponent: 朴只玹
Player: 朴廷桓, Date: 2023-10-13, Rating: 3679, Black and White: 执黑, Result: 胜, Opponent: 李元荣
Player: 朴廷桓, Date: 2023-10-10, Rating: 3679, Black and White: 执黑, Result: 负, Opponent: 李维清
Player: 朴廷桓, Date: 2023-10-08, Rating: 3680, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 朴廷桓, Date: 2023-10-03, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2023-10-02, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2023-09-30, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2023-09-30, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2023-09-29, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 林君谚
Player: 朴廷桓, Date: 2023-09-27, Rating: 3680, Black and White: 执黑, Result: 负, Opponent: 许皓鋐
Player: 朴廷桓, Date: 2023-09-26, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 赖均辅
Player: 朴廷桓, Date: 2023-09-26, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 曾富康
Player: 朴廷桓, Date: 2023-09-25, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 康占斌
Player: 朴廷桓, Date: 2023-09-25, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2023-09-24, Rating: 3680, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2023-09-19, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 韩友赈
Player: 朴廷桓, Date: 2023-09-05, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 金丞求
Player: 朴廷桓, Date: 2023-08-27, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 李元荣
Player: 朴廷桓, Date: 2023-08-19, Rating: 3681, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 朴廷桓, Date: 2023-08-18, Rating: 3681, Black and White: 执黑, Result: 胜, Opponent: 陈玉侬
Player: 朴廷桓, Date: 2023-08-03, Rating: 3681, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2023-07-26, Rating: 3681, Black and White: 执黑, Result: 负, Opponent: 芝野虎丸
Player: 朴廷桓, Date: 2023-07-15, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2023-07-14, Rating: 3682, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 朴廷桓, Date: 2023-06-27, Rating: 3682, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-06-21, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2023-06-12, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2023-06-08, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-06-07, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 许荣珞
