Player: 赵治勋, Date: 1989-12-22, Rating: 3348, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 赵治勋, Date: 1989-12-18, Rating: 3348, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1989-12-15, Rating: 3348, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 赵治勋, Date: 1989-12-08, Rating: 3349, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1989-12-02, Rating: 3349, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1989-11-30, Rating: 3349, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1989-11-24, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 赵治勋, Date: 1989-11-10, Rating: 3351, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1989-11-02, Rating: 3351, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1989-10-19, Rating: 3352, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1989-10-15, Rating: 3353, Black and White: 执白, Result: 负, Opponent: 王铭琬
Player: 赵治勋, Date: 1989-09-28, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1989-09-14, Rating: 3355, Black and White: 执白, Result: 负, Opponent: 羽根泰正
Player: 赵治勋, Date: 1989-09-07, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 桥本宇太郎
Player: 赵治勋, Date: 1989-08-24, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 赵治勋, Date: 1989-08-23, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 赵治勋, Date: 1989-08-17, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 赵治勋, Date: 1989-08-10, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1989-07-29, Rating: 3358, Black and White: 执白, Result: 负, Opponent: 户泽昭宣
Player: 赵治勋, Date: 1989-07-13, Rating: 3359, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1989-07-03, Rating: 3360, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 赵治勋, Date: 1989-06-22, Rating: 3360, Black and White: 执白, Result: 负, Opponent: 今村俊也
Player: 赵治勋, Date: 1989-06-19, Rating: 3360, Black and White: 执黑, Result: 负, Opponent: 淡路修三
Player: 赵治勋, Date: 1989-06-15, Rating: 3360, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1989-06-07, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
