Player: 李昌镐, Date: 1990-07-25, Rating: 3432, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-07-18, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 黄元俊
Player: 李昌镐, Date: 1990-06-29, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-06-18, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 梁相国
Player: 李昌镐, Date: 1990-06-08, Rating: 3427, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 李昌镐, Date: 1990-06-05, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1990-06-02, Rating: 3427, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 李昌镐, Date: 1990-05-31, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 丁铉山
Player: 李昌镐, Date: 1990-05-21, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 金熙中
Player: 李昌镐, Date: 1990-05-19, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1990-05-17, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 丁铉山
Player: 李昌镐, Date: 1990-05-15, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 白成豪
Player: 李昌镐, Date: 1990-05-11, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 吴圭喆
Player: 李昌镐, Date: 1990-04-20, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 张斗轸
Player: 李昌镐, Date: 1990-04-17, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1990-04-17, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1990-04-09, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 李昌镐, Date: 1990-04-07, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 彭景华
Player: 李昌镐, Date: 1990-04-03, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 丁铉山
Player: 李昌镐, Date: 1990-03-23, Rating: 3418, Black and White: 执白, Result: 胜, Opponent: 郑寿铉
Player: 李昌镐, Date: 1990-03-19, Rating: 3418, Black and White: 执黑, Result: 胜, Opponent: 李柱龙
Player: 李昌镐, Date: 1990-02-27, Rating: 3414, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1990-02-12, Rating: 3412, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1990-02-08, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1990-02-02, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-01-19, Rating: 3407, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-01-11, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 李昌镐, Date: 1990-01-08, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 小林光一, Date: 1990-12-18, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1990-12-16, Rating: 3378, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1990-12-10, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1990-12-06, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1990-11-29, Rating: 3379, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1990-11-27, Rating: 3379, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-11-23, Rating: 3379, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1990-11-20, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1990-11-18, Rating: 3379, Black and White: 执黑, Result: 负, Opponent: 石田章
Player: 小林光一, Date: 1990-11-07, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-11-01, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1990-10-24, Rating: 3381, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-10-17, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-10-11, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 苑田勇一
Player: 小林光一, Date: 1990-10-03, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-09-26, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-09-22, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 小林光一, Date: 1990-09-19, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 小县真树
Player: 小林光一, Date: 1990-09-12, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-09-06, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 大平修三
Player: 小林光一, Date: 1990-08-30, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 宫泽吾朗
Player: 小林光一, Date: 1990-08-04, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 小林光一, Date: 1990-07-31, Rating: 3386, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1990-07-25, Rating: 3386, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1990-07-18, Rating: 3386, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1990-07-13, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1990-07-09, Rating: 3386, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1990-07-07, Rating: 3387, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1990-07-04, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1990-06-28, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 大山国夫
Player: 小林光一, Date: 1990-06-19, Rating: 3388, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1990-06-14, Rating: 3388, Black and White: 执白, Result: 胜, Opponent: 今村俊也
Player: 小林光一, Date: 1990-06-07, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1990-06-02, Rating: 3388, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 小林光一, Date: 1990-05-28, Rating: 3388, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1990-05-24, Rating: 3388, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1990-05-17, Rating: 3388, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 小林光一, Date: 1990-05-11, Rating: 3388, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1990-04-19, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 酒井猛
Player: 小林光一, Date: 1990-04-16, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-04-12, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1990-04-09, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 汪见虹
Player: 小林光一, Date: 1990-04-07, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 大卫李
Player: 小林光一, Date: 1990-03-15, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 中村秀仁
Player: 小林光一, Date: 1990-03-08, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 小林光一, Date: 1990-03-05, Rating: 3390, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1990-02-28, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-02-21, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-02-15, Rating: 3390, Black and White: 执白, Result: 负, Opponent: 武宫正树
