Player: 马晓春, Date: 1998-10-26, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 马晓春, Date: 1998-10-14, Rating: 3385, Black and White: 执白, Result: 负, Opponent: 刘小光
Player: 马晓春, Date: 1998-10-08, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 马晓春, Date: 1998-09-09, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 马晓春, Date: 1998-09-04, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 中野宽也
Player: 马晓春, Date: 1998-09-02, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 马晓春, Date: 1998-08-22, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 张文东
Player: 马晓春, Date: 1998-08-15, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 马晓春, Date: 1998-08-14, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 马晓春, Date: 1998-08-12, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 马晓春, Date: 1998-06-18, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 白大铉
Player: 马晓春, Date: 1998-06-05, Rating: 3380, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 马晓春, Date: 1998-05-22, Rating: 3379, Black and White: 执白, Result: 负, Opponent: 曹大元
Player: 马晓春, Date: 1998-04-13, Rating: 3378, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 马晓春, Date: 1998-04-05, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 马晓春, Date: 1998-01-23, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 李圣宰
Player: 马晓春, Date: 1998-01-09, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 汪见虹
Player: 常昊, Date: 1998-12-28, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 常昊, Date: 1998-12-17, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 张文东
Player: 常昊, Date: 1998-12-13, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 常昊, Date: 1998-10-19, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 常昊, Date: 1998-10-18, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 常昊, Date: 1998-09-09, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 常昊, Date: 1998-09-02, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 常昊, Date: 1998-08-27, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1998-08-25, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1998-08-22, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 常昊, Date: 1998-08-01, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1998-07-19, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 常昊, Date: 1998-07-14, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 刘菁
Player: 常昊, Date: 1998-07-13, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 常昊, Date: 1998-07-11, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 邵炜刚
Player: 常昊, Date: 1998-07-10, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 王群
Player: 常昊, Date: 1998-07-04, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 常昊, Date: 1998-06-18, Rating: 3372, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1998-06-16, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 常昊, Date: 1998-06-05, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 常昊, Date: 1998-05-15, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 工藤纪夫
Player: 常昊, Date: 1998-05-13, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 常昊, Date: 1998-04-13, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 常昊, Date: 1998-04-11, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 清成哲也
Player: 常昊, Date: 1998-03-25, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1998-03-22, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 常昊, Date: 1998-03-20, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 黄奕中
Player: 常昊, Date: 1998-03-18, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 丁伟
Player: 常昊, Date: 1998-03-10, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1998-03-09, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1998-03-07, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1998-03-05, Rating: 3368, Black and White: 执白, Result: 负, Opponent: 王磊
Player: 常昊, Date: 1998-03-03, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 常昊, Date: 1998-02-21, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1998-02-19, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1998-01-21, Rating: 3364, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 常昊, Date: 1998-01-17, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 赵治勋, Date: 1998-12-27, Rating: 3336, Black and White: 执黑, Result: 负, Opponent: 小松英树
Player: 赵治勋, Date: 1998-12-05, Rating: 3338, Black and White: 执白, Result: 胜, Opponent: 杨嘉源
Player: 赵治勋, Date: 1998-11-26, Rating: 3338, Black and White: 执白, Result: 胜, Opponent: 福井正明
Player: 赵治勋, Date: 1998-11-23, Rating: 3338, Black and White: 执黑, Result: 负, Opponent: 羽根直树
Player: 赵治勋, Date: 1998-11-11, Rating: 3339, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-11-04, Rating: 3340, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-11-02, Rating: 3340, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 赵治勋, Date: 1998-10-26, Rating: 3340, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 赵治勋, Date: 1998-10-21, Rating: 3340, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1998-10-08, Rating: 3342, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 赵治勋, Date: 1998-09-30, Rating: 3342, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-09-26, Rating: 3342, Black and White: 执黑, Result: 负, Opponent: 小林觉
Player: 赵治勋, Date: 1998-09-23, Rating: 3343, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-09-17, Rating: 3343, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1998-09-13, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 赵治勋, Date: 1998-09-09, Rating: 3344, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1998-09-06, Rating: 3344, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1998-09-04, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 赵治勋, Date: 1998-09-02, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 赵治勋, Date: 1998-08-20, Rating: 3345, Black and White: 执白, Result: 胜, Opponent: 杨嘉源
Player: 赵治勋, Date: 1998-08-13, Rating: 3346, Black and White: 执白, Result: 负, Opponent: 柳时熏
Player: 赵治勋, Date: 1998-07-13, Rating: 3348, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-07-06, Rating: 3349, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1998-06-29, Rating: 3349, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1998-06-22, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-06-18, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 芮乃伟
