Player: 李世石, Date: 2007-02-13, Rating: 3544, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 李世石, Date: 2007-02-08, Rating: 3544, Black and White: 执黑, Result: 胜, Opponent: 朴正祥
Player: 李世石, Date: 2007-02-02, Rating: 3543, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2007-01-25, Rating: 3542, Black and White: 执白, Result: 负, Opponent: 朴正祥
Player: 李世石, Date: 2007-01-19, Rating: 3541, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2007-01-17, Rating: 3541, Black and White: 执白, Result: 胜, Opponent: 金成龙
Player: 李世石, Date: 2007-01-09, Rating: 3540, Black and White: 执白, Result: 胜, Opponent: 张栩
Player: 李世石, Date: 2007-01-08, Rating: 3540, Black and White: 执白, Result: 胜, Opponent: 张栩
Player: 李世石, Date: 2007-01-06, Rating: 3539, Black and White: 执黑, Result: 负, Opponent: 张栩
Player: 古力, Date: 2007-12-28, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 丁伟
Player: 古力, Date: 2007-12-24, Rating: 3533, Black and White: 执白, Result: 胜, Opponent: 张学斌
Player: 古力, Date: 2007-12-24, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 古力, Date: 2007-12-22, Rating: 3533, Black and White: 执黑, Result: 负, Opponent: 王昊洋
Player: 古力, Date: 2007-12-20, Rating: 3533, Black and White: 执白, Result: 胜, Opponent: 丁伟
Player: 古力, Date: 2007-12-18, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 丁伟
Player: 古力, Date: 2007-12-15, Rating: 3532, Black and White: 执白, Result: 负, Opponent: 牛雨田
Player: 古力, Date: 2007-12-08, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 王垚
Player: 古力, Date: 2007-12-04, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2007-12-01, Rating: 3530, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2007-11-23, Rating: 3529, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 古力, Date: 2007-11-22, Rating: 3529, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 古力, Date: 2007-11-20, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 古力, Date: 2007-11-17, Rating: 3529, Black and White: 执白, Result: 负, Opponent: 罗洗河
Player: 古力, Date: 2007-11-13, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2007-11-10, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 李华嵩
Player: 古力, Date: 2007-11-03, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2007-11-01, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 李喆
Player: 古力, Date: 2007-10-30, Rating: 3527, Black and White: 执黑, Result: 负, Opponent: 刘星
Player: 古力, Date: 2007-10-28, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 古力, Date: 2007-10-26, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 古力, Date: 2007-10-20, Rating: 3526, Black and White: 执白, Result: 胜, Opponent: 马笑冰
Player: 古力, Date: 2007-10-13, Rating: 3525, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 古力, Date: 2007-10-09, Rating: 3525, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 古力, Date: 2007-09-29, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 古力, Date: 2007-09-27, Rating: 3523, Black and White: 执白, Result: 负, Opponent: 谢赫
Player: 古力, Date: 2007-09-06, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 古力, Date: 2007-09-04, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 赵惠连
Player: 古力, Date: 2007-08-29, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 古力, Date: 2007-08-27, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 古力, Date: 2007-08-25, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 王昊洋
Player: 古力, Date: 2007-08-18, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 李康
Player: 古力, Date: 2007-08-11, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 古力, Date: 2007-08-09, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 王垚
Player: 古力, Date: 2007-07-28, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 古力, Date: 2007-07-07, Rating: 3511, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 古力, Date: 2007-06-30, Rating: 3510, Black and White: 执白, Result: 负, Opponent: 邱峻
Player: 古力, Date: 2007-06-23, Rating: 3509, Black and White: 执黑, Result: 负, Opponent: 罗洗河
Player: 古力, Date: 2007-06-16, Rating: 3508, Black and White: 执白, Result: 胜, Opponent: 吴树浩
Player: 古力, Date: 2007-06-09, Rating: 3507, Black and White: 执黑, Result: 负, Opponent: 李喆
Player: 古力, Date: 2007-06-06, Rating: 3507, Black and White: 执黑, Result: 负, Opponent: 韩尚勋
Player: 古力, Date: 2007-06-04, Rating: 3507, Black and White: 执白, Result: 胜, Opponent: 李映九
