Match,Distribution Type,Data Type,Parameter,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament
StarCraft,Normal,Simulation Data,11,0.46707887700534767,0.4291610962566845,0.19752673796791442,0.4170788770053476,0.4004344919786097,0.006500668449197861
StarCraft,Normal,Simulation Data,12,0.5502673796791443,0.48566176470588235,0.20302473262032086,0.4906751336898395,0.34331550802139044,-0.003475935828876986
StarCraft,Normal,Simulation Data,13,0.5691176470588235,0.5053141711229947,0.17478275401069515,0.3754512032085562,0.40160427807486626,0.020036764705882355
StarCraft,Normal,Simulation Data,14,0.5484124331550804,0.5300133689839572,0.19715909090909092,0.38170120320855616,0.445120320855615,0.012332887700534766
StarCraft,Normal,Simulation Data,15,0.5922292780748661,0.5196356951871658,0.2520889037433155,0.5047292780748663,0.45427807486631017,0.024515374331550804
StarCraft,Normal,Simulation Data,16,0.6049799465240642,0.526336898395722,0.20695187165775403,0.425033422459893,0.37499999999999994,0.04533756684491978
StarCraft,Normal,Simulation Data,17,0.5923128342245989,0.5333723262032085,0.1561831550802139,0.4649231283422459,0.38069852941176474,0.0019217914438502681
StarCraft,Normal,Simulation Data,18,0.6296457219251337,0.605932486631016,0.19505347593582884,0.4784090909090909,0.4244151069518717,-0.0025233957219250925
StarCraft,Normal,Simulation Data,19,0.6170788770053476,0.5818683155080213,0.16338569518716578,0.4667947860962567,0.42785762032085567,0.046858288770053456
StarCraft,Normal,Simulation Data,20,0.6219585561497325,0.5485294117647058,0.18009692513368986,0.4316677807486631,0.4288937165775401,0.01612633689839573
StarCraft,Normal,Simulation Data,21,0.6233622994652406,0.5959558823529412,0.16022727272727275,0.45031751336898396,0.355197192513369,0.00962566844919785
StarCraft,Normal,Simulation Data,22,0.6493315508021391,0.651788101604278,0.20716911764705884,0.4928308823529412,0.4141711229946524,0.029879679144385034
StarCraft,Normal,Simulation Data,23,0.6473094919786095,0.5851604278074867,0.1532921122994652,0.47296122994652406,0.4121657754010696,0.015524732620320858
StarCraft,Normal,Simulation Data,24,0.6499164438502673,0.6427306149732619,0.13332219251336902,0.4469585561497326,0.3633522727272727,0.03798462566844919
StarCraft,Normal,Simulation Data,25,0.6891711229946524,0.6556651069518716,0.21248328877005346,0.4909090909090909,0.38165106951871663,0.07040441176470588
StarCraft,Normal,Simulation Data,26,0.6879344919786097,0.611764705882353,0.1542279411764706,0.4617647058823531,0.4072359625668449,0.011280080213903726
StarCraft,Normal,Simulation Data,27,0.6701704545454545,0.6395889037433156,0.17140708556149736,0.5113469251336898,0.3482286096256685,0.03373997326203209
StarCraft,Normal,Simulation Data,28,0.6780915775401068,0.6668449197860961,0.13816844919786092,0.44478609625668436,0.3715407754010695,0.035778743315508024
StarCraft,Normal,Simulation Data,29,0.7200033422459893,0.6507520053475936,0.18648061497326202,0.45626671122994666,0.44244652406417107,0.027022058823529416
StarCraft,Normal,Simulation Data,30,0.7252673796791445,0.6715407754010696,0.21975267379679148,0.42132352941176465,0.36883355614973257,0.0505514705882353
StarCraft,Normal,Simulation Data,31,0.6979779411764706,0.616677807486631,0.18856951871657754,0.49824532085561496,0.38659759358288776,0.024866310160427806
StarCraft,Normal,Simulation Data,32,0.7162098930481284,0.6639538770053476,0.16407085561497325,0.5026236631016043,0.4121991978609625,0.08071524064171123
StarCraft,Normal,Simulation Data,33,0.7523562834224599,0.7098094919786095,0.2135862299465241,0.48930481283422456,0.37476604278074865,0.06425467914438503
StarCraft,Normal,Simulation Data,34,0.7426303475935828,0.6886363636363637,0.1509692513368984,0.47197526737967915,0.36168114973262033,0.050501336898395734
StarCraft,Normal,Simulation Data,35,0.739639037433155,0.6901570855614974,0.23753342245989306,0.49050802139037425,0.3976437165775401,0.09756016042780749
StarCraft,Normal,Simulation Data,36,0.6982620320855617,0.6789104278074867,0.21863302139037435,0.44613970588235297,0.42047125668449203,0.06280080213903746
StarCraft,Normal,Simulation Data,37,0.7551470588235294,0.7375668449197861,0.18153409090909092,0.48380681818181814,0.39749331550802136,0.07433155080213902
StarCraft,Normal,Simulation Data,38,0.749899732620321,0.7271724598930482,0.2036764705882353,0.5042279411764705,0.42887700534759354,0.07281082887700534
StarCraft,Normal,Simulation Data,39,0.6928475935828875,0.7113135026737968,0.194802807486631,0.46119652406417116,0.3458054812834225,0.07608622994652407
StarCraft,Normal,Simulation Data,40,0.7150902406417112,0.7547459893048128,0.17023729946524063,0.44740975935828864,0.4397393048128343,0.0972092245989305
StarCraft,MultiGaussian,Simulation Data,1,0.6280247326203208,0.6428977272727273,0.6699532085561496,0.6142881016042783,0.29657419786096256,0.28377339572192517
StarCraft,MultiGaussian,Simulation Data,2,0.45614973262032077,0.3913937165775402,0.35957553475935833,0.37190842245989303,0.2449030748663102,0.08382352941176471
StarCraft,MultiGaussian,Simulation Data,3,0.3169953208556149,0.33190173796791445,0.23318850267379684,0.3113636363636364,0.22237633689839575,0.0661764705882353
StarCraft,MultiGaussian,Simulation Data,4,0.3547627005347593,0.3343917112299465,0.19518716577540113,0.25492981283422456,0.34493649732620324,0.02294451871657755
StarCraft,MultiGaussian,Simulation Data,5,0.40701871657754013,0.30115307486631016,0.19896390374331552,0.3818181818181819,0.3640875668449198,0.003158422459893051
StarCraft,MultiGaussian,Simulation Data,6,0.4355949197860962,0.3972092245989304,0.1854779411764706,0.36405414438502676,0.4221089572192513,0.009124331550802129
StarCraft,MultiGaussian,Simulation Data,7,0.46739639037433156,0.37628676470588235,0.19784425133689837,0.33805147058823526,0.4518048128342246,0.019485294117647073
StarCraft,MultiGaussian,Simulation Data,8,0.3694017379679145,0.45965909090909085,0.14839572192513367,0.3704545454545455,0.40138703208556137,0.0036764705882352923
StarCraft,MultiGaussian,Simulation Data,9,0.4956049465240643,0.4149732620320856,0.21569184491978607,0.40160427807486637,0.37902740641711224,0.015040106951871652
StarCraft,MultiGaussian,Simulation Data,10,0.44969919786096246,0.5060160427807487,0.17946189839572196,0.4836731283422459,0.4413435828877004,0.008556149732620338
StarCraft,MultiGaussian,Simulation Data,11,0.5044117647058823,0.49291443850267386,0.22145721925133693,0.43063168449197853,0.3444685828877005,-0.009308155080213903
StarCraft,MultiGaussian,Simulation Data,12,0.5757185828877006,0.5142045454545455,0.1662098930481283,0.45701871657754,0.41355280748663104,0.0013870320855614848
StarCraft,MultiGaussian,Simulation Data,13,0.5367312834224599,0.5312834224598929,0.20279077540106952,0.3988803475935828,0.40513034759358285,0.002623663101604279
StarCraft,MultiGaussian,Simulation Data,14,0.5541276737967914,0.5164104278074866,0.1896557486631016,0.4418783422459893,0.38210227272727276,0.018716577540106954
StarCraft,MultiGaussian,Simulation Data,15,0.5629010695187167,0.47621991978609624,0.1978609625668449,0.4113135026737968,0.42493315508021395,0.0024899732620320856
