Player: 曹薰铉, Date: 1982-12-10, Rating: 3387, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-12-05, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-12-02, Rating: 3386, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-11-19, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-11-09, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-07-07, Rating: 3374, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-06-22, Rating: 3373, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-06-15, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-06-10, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-05-25, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-05-11, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1982-04-29, Rating: 3368, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 小林光一, Date: 1982-12-16, Rating: 3347, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1982-12-02, Rating: 3347, Black and White: 执白, Result: 胜, Opponent: 小山靖男
Player: 小林光一, Date: 1982-11-25, Rating: 3346, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1982-11-18, Rating: 3347, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1982-11-13, Rating: 3347, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-11-04, Rating: 3347, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1982-10-28, Rating: 3347, Black and White: 执白, Result: 胜, Opponent: 藤泽秀行
Player: 小林光一, Date: 1982-10-21, Rating: 3347, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1982-10-14, Rating: 3347, Black and White: 执白, Result: 胜, Opponent: 石井邦生
Player: 小林光一, Date: 1982-10-07, Rating: 3347, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 小林光一, Date: 1982-08-26, Rating: 3346, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 小林光一, Date: 1982-08-19, Rating: 3346, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 小林光一, Date: 1982-08-12, Rating: 3345, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1982-07-29, Rating: 3345, Black and White: 执黑, Result: 胜, Opponent: 石井邦生
Player: 小林光一, Date: 1982-07-25, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1982-07-21, Rating: 3344, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-07-15, Rating: 3344, Black and White: 执黑, Result: 负, Opponent: 坂田荣男
Player: 小林光一, Date: 1982-07-08, Rating: 3343, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-06-30, Rating: 3343, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-06-24, Rating: 3343, Black and White: 执黑, Result: 胜, Opponent: 石田章
Player: 小林光一, Date: 1982-06-21, Rating: 3343, Black and White: 执黑, Result: 负, Opponent: 本田邦久
Player: 小林光一, Date: 1982-06-16, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1982-06-10, Rating: 3343, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-06-03, Rating: 3343, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-05-31, Rating: 3343, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-05-26, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1982-05-24, Rating: 3343, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1982-05-11, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1982-05-06, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1982-04-29, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1982-04-15, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1982-04-10, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 小林光一, Date: 1982-04-08, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1982-04-01, Rating: 3343, Black and White: 执黑, Result: 负, Opponent: 牛之浜撮雄
Player: 小林光一, Date: 1982-03-28, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 小林光一, Date: 1982-03-25, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1982-03-18, Rating: 3342, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1982-03-14, Rating: 3342, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 小林光一, Date: 1982-03-04, Rating: 3341, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 小林光一, Date: 1982-02-28, Rating: 3341, Black and White: 执白, Result: 负, Opponent: 山部俊郎
Player: 小林光一, Date: 1982-02-25, Rating: 3340, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 小林光一, Date: 1982-02-11, Rating: 3339, Black and White: 执黑, Result: 胜, Opponent: 桥本宇太郎
Player: 小林光一, Date: 1982-02-04, Rating: 3339, Black and White: 执白, Result: 胜, Opponent: 上村阳生
Player: 小林光一, Date: 1982-01-27, Rating: 3338, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1982-01-21, Rating: 3337, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1982-12-27, Rating: 3346, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 加藤正夫, Date: 1982-12-23, Rating: 3346, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1982-12-20, Rating: 3345, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 加藤正夫, Date: 1982-12-16, Rating: 3345, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1982-12-13, Rating: 3345, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 加藤正夫, Date: 1982-12-09, Rating: 3345, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1982-12-03, Rating: 3345, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 加藤正夫, Date: 1982-11-25, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1982-11-17, Rating: 3344, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 加藤正夫, Date: 1982-11-09, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1982-11-04, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 加藤正夫, Date: 1982-10-26, Rating: 3343, Black and White: 执黑, Result: 胜, Opponent: 曲励起
Player: 加藤正夫, Date: 1982-10-21, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1982-09-30, Rating: 3341, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 加藤正夫, Date: 1982-09-23, Rating: 3341, Black and White: 执白, Result: 胜, Opponent: 小山靖男
Player: 加藤正夫, Date: 1982-09-18, Rating: 3340, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1982-08-28, Rating: 3339, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 加藤正夫, Date: 1982-08-19, Rating: 3338, Black and White: 执黑, Result: 胜, Opponent: 石田章
Player: 加藤正夫, Date: 1982-07-28, Rating: 3336, Black and White: 执白, Result: 胜, Opponent: 小岛高穗
Player: 加藤正夫, Date: 1982-07-22, Rating: 3336, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 加藤正夫, Date: 1982-07-15, Rating: 3335, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1982-06-24, Rating: 3332, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 加藤正夫, Date: 1982-06-12, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 加藤正夫, Date: 1982-06-03, Rating: 3330, Black and White: 执白, Result: 负, Opponent: 羽根泰正
Player: 加藤正夫, Date: 1982-05-13, Rating: 3327, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1982-05-06, Rating: 3327, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1982-04-29, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 桥本宇太郎
Player: 加藤正夫, Date: 1982-04-22, Rating: 3325, Black and White: 执黑, Result: 胜, Opponent: 坂口隆三
Player: 加藤正夫, Date: 1982-04-08, Rating: 3324, Black and White: 执黑, Result: 胜, Opponent: 榊原章二
Player: 加藤正夫, Date: 1982-04-01, Rating: 3324, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1982-03-25, Rating: 3323, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1982-03-18, Rating: 3322, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1982-03-10, Rating: 3321, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1982-02-18, Rating: 3320, Black and White: 执黑, Result: 负, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1982-02-15, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1982-01-27, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1982-01-23, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1982-01-21, Rating: 3320, Black and White: 执黑, Result: 胜, Opponent: 岛村俊广
Player: 武宫正树, Date: 1982-12-15, Rating: 3293, Black and White: 执白, Result: 胜, Opponent: 藤泽秀行
Player: 武宫正树, Date: 1982-12-02, Rating: 3293, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 武宫正树, Date: 1982-11-18, Rating: 3292, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1982-11-04, Rating: 3292, Black and White: 执黑, Result: 负, Opponent: 东野弘昭
Player: 武宫正树, Date: 1982-10-14, Rating: 3292, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 武宫正树, Date: 1982-09-18, Rating: 3292, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 武宫正树, Date: 1982-08-12, Rating: 3291, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 武宫正树, Date: 1982-07-01, Rating: 3290, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 武宫正树, Date: 1982-06-17, Rating: 3291, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 武宫正树, Date: 1982-05-27, Rating: 3291, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 武宫正树, Date: 1982-05-20, Rating: 3291, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1982-05-13, Rating: 3291, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 武宫正树, Date: 1982-04-29, Rating: 3291, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1982-04-22, Rating: 3291, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 武宫正树, Date: 1982-04-15, Rating: 3291, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1982-04-08, Rating: 3291, Black and White: 执黑, Result: 胜, Opponent: 石井邦生
Player: 武宫正树, Date: 1982-03-18, Rating: 3291, Black and White: 执白, Result: 胜, Opponent: 岩田达明
Player: 武宫正树, Date: 1982-03-11, Rating: 3291, Black and White: 执黑, Result: 负, Opponent: 羽根泰正
Player: 武宫正树, Date: 1982-03-07, Rating: 3291, Black and White: 执白, Result: 负, Opponent: 杉内雅男
Player: 武宫正树, Date: 1982-03-06, Rating: 3291, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 武宫正树, Date: 1982-03-04, Rating: 3292, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 武宫正树, Date: 1982-02-15, Rating: 3292, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 武宫正树, Date: 1982-02-13, Rating: 3292, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 武宫正树, Date: 1982-02-11, Rating: 3292, Black and White: 执黑, Result: 负, Opponent: 岛村俊广
Player: 武宫正树, Date: 1982-01-21, Rating: 3293, Black and White: 执黑, Result: 负, Opponent: 桥本宇太郎
Player: 武宫正树, Date: 1982-01-14, Rating: 3293, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 林海峰, Date: 1982-12-26, Rating: 3317, Black and White: 执白, Result: 负, Opponent: 石田芳夫
