Player: 小林光一, Date: 1985-02-21, Rating: 3397, Black and White: 执黑, Result: 胜, Opponent: 石田章
Player: 小林光一, Date: 1985-02-16, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1985-02-14, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 小林光一, Date: 1985-02-07, Rating: 3395, Black and White: 执黑, Result: 胜, Opponent: 梶原武雄
Player: 小林光一, Date: 1985-01-31, Rating: 3395, Black and White: 执黑, Result: 胜, Opponent: 白石裕
Player: 小林光一, Date: 1985-01-24, Rating: 3394, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1985-12-26, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1985-12-19, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1985-12-17, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1985-12-05, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1985-11-28, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 石田章
Player: 赵治勋, Date: 1985-11-20, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1985-11-14, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1985-11-06, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1985-10-31, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 淡路修三
Player: 赵治勋, Date: 1985-10-28, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 赵治勋, Date: 1985-10-23, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1985-10-20, Rating: 3396, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1985-10-16, Rating: 3396, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1985-10-10, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-10-02, Rating: 3395, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1985-09-25, Rating: 3395, Black and White: 执黑, Result: 胜, Opponent: 小林光一
