Player: 常昊, Date: 1999-05-09, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 常昊, Date: 1999-05-07, Rating: 3374, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 常昊, Date: 1999-05-02, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 刘菁
Player: 常昊, Date: 1999-04-29, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 常昊, Date: 1999-04-23, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 常昊, Date: 1999-04-18, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 常昊, Date: 1999-04-16, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 常昊, Date: 1999-04-12, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 李圣宰
Player: 常昊, Date: 1999-04-06, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-04-04, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 常昊, Date: 1999-03-31, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 常昊, Date: 1999-03-29, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 刘小光
Player: 常昊, Date: 1999-03-27, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 常昊, Date: 1999-03-25, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 常昊, Date: 1999-03-22, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 常昊, Date: 1999-03-14, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-03-12, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 常昊, Date: 1999-03-07, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 陈祖德
Player: 常昊, Date: 1999-01-29, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 罗建文
Player: 常昊, Date: 1999-01-28, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 杨士海
Player: 常昊, Date: 1999-01-24, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 常昊, Date: 1999-01-21, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 杨士海
Player: 常昊, Date: 1999-01-19, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 杨士海
Player: 常昊, Date: 1999-01-16, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 李世石, Date: 1999-07-12, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李世石, Date: 1999-06-23, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 李世石, Date: 1999-06-10, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 李世石, Date: 1999-05-03, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 权孝珍
Player: 李世石, Date: 1999-05-03, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 1999-04-02, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 1999-03-22, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 李世石, Date: 1999-01-25, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 小林光一, Date: 1999-12-08, Rating: 3347, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1999-11-18, Rating: 3349, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 小林光一, Date: 1999-11-10, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 工藤纪夫
Player: 小林光一, Date: 1999-11-04, Rating: 3350, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 小林光一, Date: 1999-10-31, Rating: 3351, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1999-10-10, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 高尾绅路
Player: 小林光一, Date: 1999-09-23, Rating: 3353, Black and White: 执黑, Result: 负, Opponent: 彦坂直人
Player: 小林光一, Date: 1999-09-18, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 赵善津
Player: 小林光一, Date: 1999-09-09, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 羽根直树
Player: 小林光一, Date: 1999-09-02, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 今村俊也
Player: 小林光一, Date: 1999-08-26, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1999-08-19, Rating: 3355, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1999-08-09, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1999-08-05, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1999-07-29, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1999-07-25, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1999-07-22, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1999-07-19, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1999-07-15, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1999-07-09, Rating: 3356, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1999-07-01, Rating: 3356, Black and White: 执黑, Result: 负, Opponent: 王铭琬
Player: 小林光一, Date: 1999-06-28, Rating: 3356, Black and White: 执黑, Result: 负, Opponent: 山田规三生
Player: 小林光一, Date: 1999-06-22, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 小林光一, Date: 1999-06-21, Rating: 3356, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 小林光一, Date: 1999-06-10, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
