Player: 柯洁, Date: 2022-08-25, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2022-08-11, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 柯洁, Date: 2022-08-10, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 柯洁, Date: 2022-08-09, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 柯洁, Date: 2022-08-08, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 王泽锦
Player: 柯洁, Date: 2022-08-06, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 王泽宇
Player: 柯洁, Date: 2022-08-05, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 韩一洲
Player: 柯洁, Date: 2022-08-04, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 柯洁, Date: 2022-08-03, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 党毅飞
Player: 柯洁, Date: 2022-07-12, Rating: 3688, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 柯洁, Date: 2022-06-19, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2022-06-19, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2022-06-18, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 柯洁, Date: 2022-06-18, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 李轩豪
Player: 柯洁, Date: 2022-05-31, Rating: 3692, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 柯洁, Date: 2022-05-25, Rating: 3692, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 柯洁, Date: 2022-04-23, Rating: 3695, Black and White: 执黑, Result: 负, Opponent: 廖元赫
Player: 柯洁, Date: 2022-04-19, Rating: 3696, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2022-04-19, Rating: 3696, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2022-04-15, Rating: 3696, Black and White: 执白, Result: 负, Opponent: 杨鼎新
Player: 柯洁, Date: 2022-04-15, Rating: 3696, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2022-03-24, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 金明训
