Player: 朴廷桓, Date: 2019-06-20, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 李昊承
Player: 朴廷桓, Date: 2019-06-10, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2019-06-06, Rating: 3712, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2019-06-03, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2019-06-01, Rating: 3712, Black and White: 执白, Result: 胜, Opponent: 范蕴若
Player: 朴廷桓, Date: 2019-05-29, Rating: 3712, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 朴廷桓, Date: 2019-05-27, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 童梦成
Player: 朴廷桓, Date: 2019-05-16, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 李立言
Player: 朴廷桓, Date: 2019-05-15, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 朴廷桓, Date: 2019-05-15, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 村川大介
Player: 朴廷桓, Date: 2019-05-14, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 马特乌斯
Player: 朴廷桓, Date: 2019-05-14, Rating: 3711, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2019-05-11, Rating: 3710, Black and White: 执白, Result: 负, Opponent: 周睿羊
Player: 朴廷桓, Date: 2019-05-06, Rating: 3710, Black and White: 执黑, Result: 负, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2019-04-29, Rating: 3710, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2019-04-24, Rating: 3710, Black and White: 执白, Result: 胜, Opponent: 姜儒泽
Player: 朴廷桓, Date: 2019-04-17, Rating: 3710, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 朴廷桓, Date: 2019-04-15, Rating: 3710, Black and White: 执白, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2019-04-10, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 韩尚勋
Player: 朴廷桓, Date: 2019-03-20, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2019-03-19, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2019-03-18, Rating: 3708, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 朴廷桓, Date: 2019-03-12, Rating: 3708, Black and White: 执黑, Result: 胜, Opponent: 文儒彬
Player: 朴廷桓, Date: 2019-03-11, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 朴廷桓, Date: 2019-02-27, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2019-02-27, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2019-02-19, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 党毅飞
Player: 朴廷桓, Date: 2019-02-18, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 井山裕太
Player: 朴廷桓, Date: 2019-02-02, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2019-02-01, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 芝野虎丸
Player: 朴廷桓, Date: 2019-01-31, Rating: 3704, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2019-01-28, Rating: 3704, Black and White: 执黑, Result: 负, Opponent: 白洪淅
Player: 朴廷桓, Date: 2019-01-26, Rating: 3703, Black and White: 执黑, Result: 负, Opponent: 朴河旼
Player: 朴廷桓, Date: 2019-01-13, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 朴镇锳
Player: 朴廷桓, Date: 2019-01-08, Rating: 3703, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2019-01-06, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2019-01-02, Rating: 3702, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2019-01-01, Rating: 3702, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 柯洁, Date: 2019-12-12, Rating: 3720, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
