Player: 曹薰铉, Date: 1991-02-19, Rating: 3428, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-02-13, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-02-10, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 曹薰铉, Date: 1991-02-08, Rating: 3428, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-01-29, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-01-26, Rating: 3429, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-01-23, Rating: 3429, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-01-19, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-01-15, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-01-13, Rating: 3429, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-01-07, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-01-04, Rating: 3430, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 小林光一, Date: 1991-12-19, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1991-12-12, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1991-12-10, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1991-12-05, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1991-11-30, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 小林光一, Date: 1991-11-14, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1991-11-07, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 大矢浩一
Player: 小林光一, Date: 1991-11-03, Rating: 3368, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1991-10-23, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1991-10-16, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1991-10-10, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 小松英树
Player: 小林光一, Date: 1991-10-06, Rating: 3368, Black and White: 执黑, Result: 负, Opponent: 石田芳夫
Player: 小林光一, Date: 1991-10-02, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1991-09-25, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1991-09-19, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 有村比吕司
Player: 小林光一, Date: 1991-09-11, Rating: 3368, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1991-08-27, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1991-08-19, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 小林觉
Player: 小林光一, Date: 1991-08-14, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 小林光一, Date: 1991-08-08, Rating: 3367, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 小林光一, Date: 1991-07-31, Rating: 3367, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 小林光一, Date: 1991-07-22, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1991-07-17, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1991-07-11, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1991-07-06, Rating: 3367, Black and White: 执白, Result: 负, Opponent: 钱宇平
Player: 小林光一, Date: 1991-07-03, Rating: 3367, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1991-06-27, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1991-06-13, Rating: 3368, Black and White: 执白, Result: 负, Opponent: 小县真树
Player: 小林光一, Date: 1991-06-07, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1991-06-01, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 小林光一, Date: 1991-05-27, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1991-05-23, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 宫泽吾朗
Player: 小林光一, Date: 1991-05-16, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 石博郁郎
Player: 小林光一, Date: 1991-05-10, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1991-04-25, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1991-04-18, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 依田纪基
