Player: 朴廷桓, Date: 2012-04-20, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 金炯佑
Player: 朴廷桓, Date: 2012-04-18, Rating: 3588, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2012-04-12, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 金显灿
Player: 朴廷桓, Date: 2012-03-30, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2012-03-25, Rating: 3588, Black and White: 执白, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2012-03-23, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 孔杰
Player: 朴廷桓, Date: 2012-03-19, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 白洪淅
Player: 朴廷桓, Date: 2012-03-16, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2012-03-14, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 朱元豪
Player: 朴廷桓, Date: 2012-03-08, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 白洪淅
Player: 朴廷桓, Date: 2012-03-05, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2012-03-03, Rating: 3587, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2012-02-26, Rating: 3586, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2012-02-23, Rating: 3586, Black and White: 执黑, Result: 胜, Opponent: 朱亨煜
Player: 朴廷桓, Date: 2012-02-21, Rating: 3586, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2012-02-19, Rating: 3586, Black and White: 执白, Result: 胜, Opponent: 白成豪
Player: 朴廷桓, Date: 2012-02-13, Rating: 3586, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2012-01-31, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 韩钟振
Player: 朴廷桓, Date: 2012-01-30, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2012-01-16, Rating: 3584, Black and White: 执白, Result: 胜, Opponent: 白洪淅
Player: 朴廷桓, Date: 2012-01-07, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 邬光亚
Player: 朴廷桓, Date: 2012-01-07, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 廖行文
Player: 朴廷桓, Date: 2012-01-07, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 檀啸
