Player: 柯洁, Date: 2020-11-16, Rating: 3730, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2020-11-11, Rating: 3731, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 柯洁, Date: 2020-11-09, Rating: 3731, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 柯洁, Date: 2020-11-03, Rating: 3732, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2020-11-02, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2020-10-31, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2020-10-30, Rating: 3732, Black and White: 执黑, Result: 胜, Opponent: 李轩豪
Player: 柯洁, Date: 2020-10-28, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 柯洁, Date: 2020-10-27, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 柯洁, Date: 2020-10-20, Rating: 3733, Black and White: 执黑, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2020-10-19, Rating: 3733, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2020-10-18, Rating: 3733, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 柯洁, Date: 2020-10-12, Rating: 3733, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2020-10-11, Rating: 3733, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2020-10-10, Rating: 3733, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2020-09-23, Rating: 3734, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 柯洁, Date: 2020-09-22, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2020-09-21, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 陈贤
Player: 柯洁, Date: 2020-09-21, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 范胤
Player: 柯洁, Date: 2020-09-11, Rating: 3734, Black and White: 执白, Result: 负, Opponent: 谢科
Player: 柯洁, Date: 2020-09-09, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 柯洁, Date: 2020-09-08, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 柯洁, Date: 2020-09-01, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 黄昕
Player: 柯洁, Date: 2020-08-31, Rating: 3734, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 柯洁, Date: 2020-08-30, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 蔡竞
Player: 柯洁, Date: 2020-08-29, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2020-08-27, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 伊凌涛
Player: 柯洁, Date: 2020-08-26, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 柯洁, Date: 2020-08-25, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 李维清
Player: 柯洁, Date: 2020-08-24, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 成家业
Player: 柯洁, Date: 2020-08-22, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2020-08-04, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 柯洁, Date: 2020-07-31, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 柯洁, Date: 2020-06-11, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2020-06-08, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2020-06-02, Rating: 3732, Black and White: 执黑, Result: 胜, Opponent: 朴键昊
Player: 柯洁, Date: 2020-03-18, Rating: 3726, Black and White: 执黑, Result: 胜, Opponent: 童梦成
Player: 柯洁, Date: 2020-03-15, Rating: 3726, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2020-03-06, Rating: 3725, Black and White: 执白, Result: 胜, Opponent: 李喆
Player: 柯洁, Date: 2020-03-05, Rating: 3725, Black and White: 执黑, Result: 负, Opponent: 丁浩
Player: 柯洁, Date: 2020-03-01, Rating: 3725, Black and White: 执白, Result: 胜, Opponent: 王世一
Player: 柯洁, Date: 2020-01-22, Rating: 3722, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 柯洁, Date: 2020-01-21, Rating: 3722, Black and White: 执白, Result: 胜, Opponent: 芝野虎丸
Player: 柯洁, Date: 2020-01-20, Rating: 3722, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 朴廷桓, Date: 2020-12-27, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 崔精
Player: 朴廷桓, Date: 2020-12-23, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 李钦诚
Player: 朴廷桓, Date: 2020-12-22, Rating: 3707, Black and White: 执白, Result: 负, Opponent: 连笑
Player: 朴廷桓, Date: 2020-12-21, Rating: 3707, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 朴廷桓, Date: 2020-12-20, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2020-12-20, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-12-13, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 朴廷桓, Date: 2020-12-12, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2020-12-11, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 张强
Player: 朴廷桓, Date: 2020-12-11, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2020-12-09, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2020-12-08, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 李维清
Player: 朴廷桓, Date: 2020-12-07, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 朴廷桓, Date: 2020-12-06, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 丁浩
Player: 朴廷桓, Date: 2020-12-05, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 崔光户
Player: 朴廷桓, Date: 2020-12-02, Rating: 3707, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-12-01, Rating: 3707, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-11-28, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 朴承华
Player: 朴廷桓, Date: 2020-11-16, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申真谞
